****** Levels
 1.24388642E+16      1.    3  'P IV 1Se 1'  0   0.   0
    0.0647    0.0711    0.0776    0.0841    0.0905    0.0970    0.1035    0.1099
    0.1164    0.1229    0.1293    0.1358    0.1423    0.1487    0.1617    0.1681
    0.1875    0.1940    0.2004    0.2069    0.2198    0.2263    0.2392    0.2457
    0.2522    0.2586    0.2651    0.2716    0.2845    0.2910    0.2974    0.3233
    0.3362    0.3492    0.3621    0.4138    0.4397    0.4526    0.4656    0.4785
    0.5108    0.7630    0.8147    1.3617
   -1.5402   -1.4113   -1.2384   -1.0484   -0.8583   -0.6674   -0.4803   -0.3153
   -0.1765   -0.0722   -0.0005    0.0350    0.0287   -0.0209   -0.1155   -0.2508
   -0.4179   -0.5383   -0.4443   -0.2636   -0.1226   -0.0419   -0.0148   -0.0371
   -0.0928   -0.1478   -0.1683   -0.1573   -0.1456   -0.1481   -0.1663   -0.1685
   -0.1531   -0.1550   -0.1662   -0.1911   -0.2476   -0.2489   -0.2271   -0.2051
   -0.1712   -0.1542   -0.1618   -0.1894   -0.2570   -0.2692   -0.2640   -0.2319
   -0.2329   -0.2524   -0.2701   -0.2793   -0.3095   -0.3095   -0.3078   -0.3176
   -0.3661   -0.9119   -1.0631   -2.7046
   8  15   1    145      0      0      0   7.905E-19   0.000E+00
   -0.0436   -0.0178   -0.0113    0.0081    0.0146    0.0210    0.0275    0.0340
    0.0404    0.0469    0.0534    0.0857    0.0986    0.1051    0.1180    0.1245
    0.1439    0.1762    0.1956    0.2085    0.2150    0.2279    0.2473    0.2732
    0.2861    0.2991    0.3055    0.3120    0.3249    0.3379    0.3637    0.3831
    0.3896    0.4025    0.4090    0.4155    0.4413    0.4478    0.4672    0.4801
    0.4995    0.7646    0.8034    0.8487    1.4109
    0.5946    0.5066    0.4737    0.3829    0.3851    0.4218    0.4668    0.4916
    0.4839    0.4476    0.3991    0.2136    0.1488    0.1365    0.1563    0.1662
    0.1078    0.0238    0.0317    0.0078   -0.0171   -0.0805   -0.1567   -0.2085
   -0.2206   -0.2228   -0.2278   -0.2406   -0.2740   -0.2871   -0.3141   -0.3274
   -0.3397   -0.3743   -0.3880   -0.3971   -0.4020   -0.4109   -0.4535   -0.4680
   -0.4862   -1.0119   -1.0982   -1.2296   -2.9188
   9  15   1    147      0      0      0   9.485E-20   0.000E+00
   -0.0384    0.0133    0.0198    0.0262    0.0327    0.0456    0.0521    0.0586
    0.0974    0.1038    0.1232    0.1362    0.1620    0.1685    0.1750    0.1944
    0.2008    0.2073    0.2138    0.2202    0.2267    0.2332    0.2396    0.2461
    0.2590    0.2655    0.2720    0.2784    0.2849    0.3043    0.3108    0.3237
    0.3302    0.3366    0.3431    0.3495    0.3560    0.3625    0.3754    0.3883
    0.4013    0.4271    0.5112    0.6858    0.7634    0.7957    1.3669
   -0.5646   -0.4777   -0.4674   -0.4643   -0.4755   -0.5259   -0.5453   -0.5574
   -0.5192   -0.4985   -0.2545   -0.1325   -0.3809   -0.4903   -0.5460   -0.5301
   -0.5207   -0.4786   -0.4072   -0.3019   -0.1925   -0.1000   -0.0471   -0.0598
   -0.2647   -0.4214   -0.5428   -0.5886   -0.5937   -0.5162   -0.4753   -0.3236
   -0.2741   -0.2739   -0.3133   -0.3706   -0.4111   -0.4258   -0.4186   -0.4181
   -0.4279   -0.4682   -0.5570   -0.8486   -1.0091   -1.1016   -2.8177
  10  15   1    147      0      0      0   4.752E-20   0.000E+00
   -0.0406   -0.0341   -0.0147   -0.0083    0.0047    0.0111    0.0176    0.0241
    0.0305    0.0370    0.0435    0.0499    0.0564    0.0693    0.0952    0.1016
    0.1081    0.1210    0.1404    0.1728    0.1922    0.2116    0.2180    0.2568
    0.2633    0.2698    0.2762    0.2827    0.2892    0.2956    0.3021    0.3150
    0.3215    0.3280    0.3344    0.3409    0.3474    0.3538    0.3668    0.3732
    0.3797    0.4443    0.5025    0.6448    0.7806    0.8129    1.4034
   -1.1643   -1.1148   -0.9469   -0.8883   -0.7504   -0.6801   -0.6155   -0.5680
   -0.5490   -0.5685   -0.6237   -0.7031   -0.7749   -0.8152   -0.7382   -0.7317
   -0.7403   -0.7761   -0.6277   -0.3674   -0.6015   -0.7831   -0.7929   -0.3576
   -0.2902   -0.2725   -0.3036   -0.3556   -0.3865   -0.4174   -0.4609   -0.5966
   -0.6201   -0.5815   -0.5037   -0.4294   -0.3873   -0.3852   -0.4419   -0.4640
   -0.4746   -0.5226   -0.5656   -0.7503   -1.0262   -1.1178   -2.8918
  11  15   1      2      0      0      0   4.938E-20   0.000E+00
   3.000   .1646   1.000   0.000
  12  15   1      2      0      0      0   4.951E-20   0.000E+00
   3.000   .1650   1.000   0.000
  13  15   1      2      0      0      0   5.029E-20   0.000E+00
   3.000   .1676   1.000   0.000
  14  15   1      2      0      0      0   5.108E-20   0.000E+00
   3.000   .1703   1.000   0.000
*** Line transitions
   1   2   0   0   4      0      0   0.000E+00   5.000E-02
   1   3  -1   0   1      0      0   1.600E+00   7.000E-01
  F  1  7  0.  0.
   1   4   0   0   4      0      0   0.000E+00   5.000E-02
   1   5   0   0   4      0      0   0.000E+00   5.000E-02
   1   6   0   0   4      0      0   0.000E+00   5.000E-02
   1   7   0   0   4      0      0   0.000E+00   5.000E-02
   1   8   0   0   4      0      0   0.000E+00   5.000E-02
   1   9   0   0   4      0      0   0.000E+00   5.000E-02
   1  10   0   0   4      0      0   0.000E+00   5.000E-02
   1  11   0   0   4      0      0   0.000E+00   5.000E-02
   1  12  -1   0   1      0      0   1.000E-01   2.000E-01
  F  1  7  0.  0.
   1  13   0   0   4      0      0   0.000E+00   5.000E-02
   1  14   0   0   4      0      0   0.000E+00   5.000E-02
   2   3   0   0   4      0      0   0.000E+00   5.000E-02
   2   4   0   0   4      0      0   0.000E+00   5.000E-02
