Part. funct. data; Irwin, A.W. 1981, ApJ Suppl. 45, 621. ln Q = a0+(a1*ln(T)+(a2*ln(T)+(a3*ln(T)+(a4*ln(T)+(a5*ln(T))))))
      Species       a0              a1              a2              a3              a4              a5         ln Q(16000K)
        1.00 -2.61655891D+02  1.63428326D+02 -4.06133526D+01  5.03282928D+00 -3.10998364D-01  7.66654594D-03  7.19420668D-01
        1.01  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00
        2.00 -3.76575219D-01  2.33951687D-01 -5.79755525D-02  7.16333160D-03 -4.41302573D-04  1.08442997D-05  2.93217958D-05
        2.01  6.93147179D-01  9.29636701D-10 -2.30049742D-10  2.83829746D-11 -1.74590774D-12  4.28355287D-14  6.93147180D-01
        2.02  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00
        3.00 -2.14567715D+03  1.41384065D+03 -3.72240759D+02  4.89662811D+01 -3.21834992D+00  8.45544920D-02  3.66076089D+00
        3.01  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00
        3.02  6.93147181D-01  1.90272154D-16  1.01912004D-17 -8.43216928D-18  9.57818862D-19 -3.39894334D-20  6.93147181D-01
        4.00 -1.08795753D+03  7.16011721D+02 -1.88336711D+02  2.47499673D+01 -1.62497919D+00  4.26435929D-02  1.43598218D+00
        4.01 -2.97173171D+02  1.91233830D+02 -4.90340118D+01  6.27676976D+00 -4.01133667D-01  1.02389541D-02  8.59307524D-01
        4.02  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00  0.00000000D+00
        5.00 -5.63180409D+02  3.61549034D+02 -9.24156763D+01  1.17934683D+01 -7.51341227D-01  1.91167562D-02  2.06793547D+00
        5.01 -6.68973141D+02  4.26839144D+02 -1.08742100D+02  1.38268411D+01 -8.77496622D-01  2.22362816D-02  2.79233967D-01
        5.02 -1.71919269D+00  2.01085975D+02 -2.72678486D+01  3.41569029D+00 -2.13456035D-01  5.32400726D-03  1.06625004D+03
        6.00  9.21720021D+00 -6.57474804D+00  2.04630537D+00 -2.86334470D-01  1.83809654D-02 -4.29672351D-04  2.46973443D+00
        6.01 -1.85578951D+02  1.16815901D+02 -2.91473937D+01  3.63531100D+00 -2.26513357D-01  5.63890268D-03  1.82927003D+00
        6.02 -3.91254213D+02  2.45609224D+02 -6.15277245D+01  7.68864516D+00 -4.79276444D-01  1.19227494D-02  7.17315029D-02
        7.00  2.88717295D+02 -1.68872285D+02  3.91254756D+01 -4.45059341D+00  2.47223728D-01 -5.31945494D-03  1.87112181D+00
        7.01  1.28777940D+02 -7.95497944D+01  1.96686627D+01 -2.39615935D+00  1.43891814D-01 -3.40476068D-03  2.34003850D+00
        7.02 -8.61956970D+01  5.22049927D+01 -1.25274613D+01  1.51416152D+00 -9.19393680D-02  2.23943277D-03  1.79218023D+00
        8.00 -6.26219795D+00  5.12651680D+00 -1.44691306D+00  2.23196759D-01 -1.78196943D-02  5.71458469D-04  2.34142592D+00
        8.01 -1.11049302D+02  7.83028959D+01 -2.16736253D+01  2.98204280D+00 -2.04044209D-01  5.55676601D-03  1.62465674D+00
        8.02 -1.46432100D+01  6.83107919D+00 -1.24907508D+00  1.41406855D-01 -9.94709007D-03  3.16570356D-04  2.27096875D+00
        9.00 -5.07315371D+01  3.11367765D+01 -7.50713553D+00  9.14197587D-01 -5.59801362D-02  1.37482919D-03  1.78465611D+00
        9.01  4.70347846D+01 -2.80260758D+01  6.70365937D+00 -7.72451873D-01  4.28627164D-02 -9.09734601D-04  2.26795651D+00
        9.02 -2.88303561D+02  1.84858830D+02 -4.71021878D+01  5.99033622D+00 -3.80257197D-01  9.63869625D-03  1.51032698D+00
       10.00 -9.89746326D+00  6.15156332D+00 -1.52510257D+00  1.88526264D-01 -1.16199387D-02  2.85685024D-04  8.02995289D-04
       10.01  4.24370369D+01 -2.54522643D+01  6.16021294D+00 -7.30334327D-01  4.27298061D-02 -9.91258327D-04  1.76886243D+00
       10.02  1.61133431D+01 -7.89461982D+00  1.43805082D+00 -8.81795471D-02 -1.09787263D-03  2.04771258D-04  2.22437735D+00
       11.00 -2.60507178D+03  1.71419244D+03 -4.50632658D+02  5.91751503D+01 -3.88164070D+00  1.01752936D-01  3.94774400D+00
       11.01 -3.68868193D-06  2.28941495D-06 -5.66767833D-07  6.99552282D-08 -4.30495956D-09  1.05668164D-10  2.61448760D-10
       11.02  8.07571327D+01 -4.59044171D+01  1.04582805D+01 -1.17649896D+00  6.56479680D-02 -1.45759319D-03  1.75259171D+00
       12.00 -2.36123647D+03  1.53666552D+03 -3.99573894D+02  5.18934127D+01 -3.36616446D+00  8.72505398D-02  2.19804335D+00
       12.01 -4.34874146D+02  2.76201198D+02 -6.99216802D+01  8.83345154D+00 -5.56915833D-01  1.40181117D-02  8.36508337D-01
