****** Levels
 5.66290579E+15      4.    3  'S II 4So 1'  0   0.  0
  0.6920  0.7445  0.8463  0.9841  1.2885  1.4064  1.4706  1.4698  1.4069  1.3185
  1.2951  1.3894  1.5440  1.6653  1.7287  1.7932  1.7998  1.7573  1.6534  1.5099
  1.4001  1.3496  1.4254  1.5234  1.5924  1.6163  1.5959  1.4868  1.4502  1.4240
  1.3978  1.3539  1.2437  1.1999  1.1398  1.1009  0.9953  0.9494  0.7495  0.2056
  0.0822 -0.0083 -1.5232
   7  34   1    161      0      0      0   1.792E-19   0.000E+00
 -0.0245  0.0013  0.0143  0.0207  0.0272  0.0337  0.0401  0.0466  0.0531  0.0595
  0.0660  0.0789  0.0854  0.0919  0.0983  0.1048  0.1113  0.1242  0.1307  0.1371
  0.1436  0.1501  0.1565  0.1630  0.1695  0.1759  0.1889  0.2018  0.2083  0.2147
  0.2212  0.2277  0.2341  0.2406  0.2471  0.2535  0.2600  0.2665  0.2729  0.2794
  0.2858  0.2923  0.2988  0.3052  0.3117  0.3182  0.3246  0.3311  0.3376  0.3570
  0.3634  0.3699  0.3958  0.4022  0.4087  0.4216  0.4410  0.4734  0.5768  0.5962
  1.2484
 -0.1616 -0.0414  0.2000  0.3481  0.4577  0.5019  0.4662  0.3528  0.1982  0.0651
  0.0059  0.3030  0.4861  0.6168  0.6725  0.6532  0.5748  0.3488  0.2433  0.1474
  0.0668  0.0246 -0.0048 -0.0214 -0.0061  0.0217  0.1000  0.2058  0.2776  0.3880
  0.5797  0.8748  1.2087  1.5187  1.7654  1.9493  2.0786  2.1631  2.2018  2.1840
  2.0977  1.9343  1.6959  1.3827  1.0109  0.6151  0.2638  0.0087 -0.1412 -0.5130
 -0.6138 -0.6878 -0.9358 -0.9857 -1.0217 -1.0683 -1.1145 -1.1451 -1.2203 -1.2613
 -3.2185
   8  34   1    163      0      0      0   1.279E-18   0.000E+00
 -0.0244 -0.0050  0.0079  0.0144  0.0209  0.0273  0.0338  0.0467  0.0532  0.0597
  0.0661  0.0726  0.0920  0.1049  0.1114  0.1179  0.1243  0.1308  0.1373  0.1437
  0.1502  0.1567  0.1631  0.1696  0.1761  0.1825  0.1890  0.1955  0.2019  0.2084
  0.2149  0.2213  0.2343  0.2407  0.2472  0.2537  0.2601  0.2666  0.2730  0.2795
  0.2860  0.2924  0.2989  0.3054  0.3118  0.3183  0.3248  0.3312  0.3377  0.3442
  0.3571  0.3636  0.3700  0.3765  0.3830  0.3894  0.3959  0.4024  0.4088  0.4347
  0.5123  0.5511  1.1158
  0.8753  0.8347  0.7600  0.7190  0.7058  0.7390  0.8036  1.0410  1.1299  1.1719
  1.1681  1.1251  0.9200  0.8583  0.8553  0.8836  0.9261  0.9590  0.9715  0.9509
  0.8965  0.8190  0.7323  0.7231  0.7283  0.9042  1.1153  1.3031  1.4407  1.5272
  1.5649  1.5587  1.4922  1.5239  1.6223  1.7809  1.9187  1.9954  1.9936  1.9108
  1.7538  1.5384  1.3056  1.1739  1.1679  1.2208  1.2928  1.3027  1.2477  1.1643
