
 line no. 1   He I  4471.500    table no. 1  ne = 1.0E+13   nwl= 47

      0.18  6.88E-01  7.12E-01 10.42E-01 13.45E-01                              
      0.20  7.27E-01  6.33E-01  8.52E-01 11.74E-01                              
      0.22  6.90E-01  5.59E-01  6.76E-01  9.90E-01                              
      0.25  5.00E-01  4.44E-01  4.88E-01  7.57E-01                              
      0.30  1.62E-01  2.28E-01  2.76E-01  4.56E-01                              
      0.35  4.89E-02  9.17E-02 14.94E-02 26.96E-02                              
      0.40  2.46E-02  3.42E-02  6.99E-02 14.82E-02                              
      0.60  8.32E-03  7.92E-03  7.76E-03 12.67E-03                              
      0.80  4.31E-03  4.09E-03  3.81E-03  4.02E-03                              
      1.00  2.64E-03  2.50E-03  2.30E-03  2.33E-03                              
      1.50 10.87E-04 10.33E-04  9.74E-04  9.32E-04                              
      2.00  5.85E-04  5.56E-04  5.29E-04  4.94E-04                              
      2.50  3.45E-04  3.29E-04  3.10E-04  2.91E-04                              
      3.00  2.31E-04  2.20E-04  2.08E-04  1.95E-04                              
      3.50  1.63E-04  1.56E-04  1.48E-04  1.38E-04                              
      4.00  1.21E-04  1.16E-04  1.09E-04  1.02E-04                              
      5.00  7.23E-05  6.96E-05  6.59E-05  6.18E-05                              

 line no. 1   He I  4471.500    table no. 3  ne = 1.0E+14   nwl= 78

    -20.00  1.17E-05  1.17E-05  1.13E-05  1.08E-05                              
    -18.00  1.51E-05  1.50E-05  1.45E-05  1.37E-05                              
    -16.00  2.00E-05  1.98E-05  1.91E-05  1.81E-05                              
    -14.00  2.76E-05  2.72E-05  2.61E-05  2.47E-05                              
    -12.00  4.00E-05  3.92E-05  3.76E-05  3.55E-05                              
    -10.00  6.22E-05  6.06E-05  5.79E-05  5.46E-05                              
     -9.00  8.03E-05  7.80E-05  7.44E-05  7.01E-05                              
     -8.00 10.70E-05 10.40E-05  9.87E-05  9.30E-05                              
     -7.00  1.49E-04  1.44E-04  1.36E-04  1.29E-04                              
     -6.00  2.18E-04  2.10E-04  1.99E-04  1.88E-04                              
     -5.00  3.46E-04  3.31E-04  3.14E-04  2.97E-04                              
     -4.50  4.52E-04  4.32E-04  4.10E-04  3.88E-04                              
     -4.00  6.13E-04  5.85E-04  5.56E-04  5.27E-04                              
     -3.50  8.80E-04  8.39E-04  7.97E-04  7.57E-04                              
     -3.00  1.40E-03  1.33E-03  1.27E-03  1.22E-03                              
     -2.50  2.50E-03  2.41E-03  2.32E-03  2.25E-03                              
     -2.00  5.61E-03  5.44E-03  6.18E-03  4.99E-03                              
     -1.80  8.28E-03  8.05E-03  8.27E-03  7.28E-03                              
     -1.70 11.05E-03 10.66E-03 10.46E-03  9.18E-03                              
     -1.60  1.64E-02  1.53E-02  1.39E-02  1.15E-02                              
     -1.55  2.06E-02  1.83E-02  1.57E-02  1.25E-02                              
     -1.50  2.44E-02  2.07E-02  1.71E-02  1.32E-02                              
     -1.48  2.53E-02  2.13E-02  1.74E-02  1.34E-02                              
     -1.47  2.55E-02  2.14E-02  1.75E-02  1.35E-02                              
     -1.46  2.55E-02  2.14E-02  1.75E-02  1.35E-02                              
     -1.45  2.53E-02  2.14E-02  1.75E-02  1.36E-02                              
     -1.44  2.49E-02  2.12E-02  1.75E-02  1.36E-02                              
     -1.43  2.44E-02  2.10E-02  1.74E-02  1.36E-02                              
     -1.42  2.37E-02  2.07E-02  1.73E-02  1.36E-02                              
     -1.40  2.21E-02  1.98E-02  1.70E-02  1.35E-02                              
     -1.30  1.39E-02  1.43E-02  1.40E-02  1.23E-02                              
     -1.20  9.67E-03 10.46E-03 11.05E-03 10.68E-03                              
     -1.00  6.80E-03  7.49E-03  8.38E-03  8.94E-03                              
     -0.80  8.23E-03  8.46E-03  9.18E-03 10.11E-03                              
     -0.60  1.35E-02  1.34E-02  1.42E-02  1.66E-02                              
     -0.40  3.02E-02  3.07E-02  3.54E-02  6.85E-02                              
     -0.30  5.49E-02  5.96E-02  9.16E-02 23.83E-02                              
     -0.20  1.37E-01  2.04E-01  4.32E-01  7.54E-01                              
     -0.10  9.86E-01 14.34E-01 16.93E-01 16.62E-01                              
     -0.06  2.47E 00  2.60E 00  2.39E 00  2.01E 00                              
     -0.04  3.50E 00  3.21E 00  2.70E 00  2.16E 00                              
     -0.02  4.49E 00  3.73E 00  2.95E 00  2.27E 00                              
     -0.01  4.87E 00  3.92E 00  3.04E 00  2.31E 00                              
      0.00  5.13E 00  4.05E 00  3.10E 00  2.34E 00                              
      0.01  5.25E 00  4.12E 00  3.14E 00  2.37E 00                              
      0.02  5.21E 00  4.12E 00  3.15E 00  2.38E 00                              
      0.03  5.02E 00  4.05E 00  3.14E 00  2.38E 00                              
      0.04  4.70E 00  3.92E 00  3.10E 00  2.37E 00                              
      0.06  3.79E 00  3.51E 00  2.94E 00  2.31E 00                              
      0.08  2.79E 00  2.97E 00  2.71E 00  2.22E 00                              
      0.10  1.94E 00  2.40E 00  2.42E 00  2.10E 00                              
      0.12  1.35E 00  1.88E 00  2.10E 00  1.95E 00                              
      0.14  1.02E 00  1.45E 00  1.79E 00  1.78E 00                              
      0.16  8.62E-01 11.35E-01 14.92E-01 16.06E-01                              
      0.20  7.50E-01  7.59E-01 10.02E-01 12.47E-01                              
      0.30  2.77E-01  3.06E-01  3.57E-01  5.43E-01                              
      0.40  8.34E-02  9.50E-02 12.60E-02 20.22E-02                              
      0.50  4.30E-02  4.33E-02  5.00E-02  7.61E-02                              
      0.60  2.76E-02  2.69E-02  2.75E-02  3.41E-02                              
      1.00  8.50E-03  8.16E-03  7.72E-03  7.50E-03                              
      1.50  3.54E-03  3.42E-03  3.30E-03  3.23E-03                              
      2.00  1.93E-03  1.86E-03  1.87E-03  1.84E-03                              
      2.50  1.18E-03  1.12E-03  1.10E-03  1.08E-03                              
      3.00  7.83E-04  7.46E-04  7.20E-04  6.84E-04                              
      3.50  5.52E-04  5.28E-04  4.95E-04  4.72E-04                              
      4.00  4.08E-04  3.90E-04  3.66E-04  3.42E-04                              
      4.50  2.85E-04  2.72E-04  2.55E-04  2.35E-04                              
      5.00  2.21E-04  2.12E-04  1.97E-04  1.82E-04                              
      6.00  1.46E-04  1.40E-04  1.31E-04  1.20E-04                              
      7.00 10.20E-05  9.90E-05  8.20E-05  8.44E-05                              
      8.00  7.49E-05  7.24E-05  6.77E-05  6.21E-05                              
