****** Levels
   2  72   1    126      0      0      0  4.8898E-20  0.0000E+00
 -0.0000  0.0582  0.1034  0.1487  0.4461  0.4785  0.4849  0.4979  0.5043  0.5108
  0.5173  0.5237  0.5302  0.5367  0.5431  0.5496  0.5561  0.5625  0.5690  0.5949
  0.6013  0.6207  0.8729  0.9052  0.9505  1.5285
 -0.6117 -0.7542 -0.8351 -0.8679 -0.9573 -0.9328 -0.8991 -0.8001 -0.6453 -0.4157
 -0.1495  0.0717  0.2106  0.2554  0.2041  0.0601 -0.1722 -0.4705 -0.6916 -1.2485
 -1.2708 -1.2764 -1.4935 -1.5391 -1.6660 -3.4026
   3  72   1    126      0      0      0  4.8898E-20  0.0000E+00
 -0.0000  0.0582  0.1034  0.1487  0.4461  0.4785  0.4849  0.4979  0.5043  0.5108
  0.5173  0.5237  0.5302  0.5367  0.5431  0.5496  0.5561  0.5625  0.5690  0.5949
  0.6013  0.6207  0.8729  0.9052  0.9505  1.5285
 -0.6117 -0.7542 -0.8351 -0.8679 -0.9573 -0.9328 -0.8991 -0.8001 -0.6453 -0.4157
 -0.1495  0.0717  0.2106  0.2554  0.2041  0.0601 -0.1722 -0.4705 -0.6916 -1.2485
 -1.2708 -1.2764 -1.4935 -1.5391 -1.6660 -3.4026
   4  72   1    126      0      0      0  4.8898E-20  0.0000E+00
 -0.0000  0.0582  0.1034  0.1487  0.4461  0.4785  0.4849  0.4979  0.5043  0.5108
  0.5173  0.5237  0.5302  0.5367  0.5431  0.5496  0.5561  0.5625  0.5690  0.5949
  0.6013  0.6207  0.8729  0.9052  0.9505  1.5285
 -0.6117 -0.7542 -0.8351 -0.8679 -0.9573 -0.9328 -0.8991 -0.8001 -0.6453 -0.4157
 -0.1495  0.0717  0.2106  0.2554  0.2041  0.0601 -0.1722 -0.4705 -0.6916 -1.2485
 -1.2708 -1.2764 -1.4935 -1.5391 -1.6660 -3.4026
   5  72   1    129      0      0      0  5.8491E-20  0.0000E+00
 -0.0000  0.0711  0.1099  0.1552  0.4267  0.4849  0.5043  0.5108  0.5173  0.5237
  0.5302  0.5367  0.5431  0.5496  0.5561  0.5625  0.5690  0.5755  0.5819  0.5884
  0.5949  0.6013  0.6078  0.6143  0.6207  0.6466  0.7500  0.7759  1.4201
 -0.5339 -0.7019 -0.7778 -0.8301 -1.0225 -1.0421 -1.0094 -0.9855 -0.9173 -0.8240
 -0.6487 -0.4243 -0.2184 -0.0743 -0.0108 -0.0311 -0.1348 -0.3135 -0.5461 -0.7879
 -0.9774 -1.1204 -1.1959 -1.2327 -1.2577 -1.3083 -1.4274 -1.4928 -3.4275
   6  72   1    125      0      0      0  2.4042E-18  0.0000E+00
 -0.0000  0.0776  0.2328  0.3103  0.3879  0.4720  0.5561  0.6013  0.6660  0.6724
  0.6789  0.6854  0.6918  0.6983  0.7048  0.7112  0.7177  0.7242  0.7306  0.7371
  0.7500  0.7888  0.9828  1.0475  1.3924
  1.0799  1.0410  0.8242  0.6585  0.4649  0.2309 -0.0280 -0.1828 -0.2968 -0.2668
 -0.0920  0.0640  0.1535  0.1638  0.0990 -0.0208 -0.1666 -0.2929 -0.4065 -0.4774
 -0.5572 -0.7206 -1.4551 -1.6846 -2.7233
   7  72   1    126      0      0      0  1.5040E-18  0.0000E+00
 -0.0000  0.0840  0.2004  0.3168  0.4073  0.4849  0.5819  0.6530  0.6595  0.6854
  0.6918  0.6983  0.7048  0.7112  0.7177  0.7242  0.7306  0.7371  0.7436  0.7565
  0.7630  0.7824  0.9117  1.0475  1.0798  1.4044
  0.8762  0.8748  0.7819  0.5924  0.3881  0.1835 -0.1020 -0.3256 -0.3377 -0.3376
 -0.2920 -0.1546 -0.0040  0.1265  0.1848  0.1617  0.0605 -0.1058 -0.2949 -0.5673
 -0.6731 -0.7798 -1.2827 -1.8295 -1.9447 -2.9226
   8  72   1    126      0      0      0  1.5040E-18  0.0000E+00
 -0.0000  0.0840  0.2004  0.3168  0.4073  0.4849  0.5819  0.6530  0.6595  0.6854
  0.6918  0.6983  0.7048  0.7112  0.7177  0.7242  0.7306  0.7371  0.7436  0.7565
  0.7630  0.7824  0.9117  1.0475  1.0798  1.4044
  0.8762  0.8748  0.7819  0.5924  0.3881  0.1835 -0.1020 -0.3256 -0.3377 -0.3376
 -0.2920 -0.1546 -0.0040  0.1265  0.1848  0.1617  0.0605 -0.1058 -0.2949 -0.5673
 -0.6731 -0.7798 -1.2827 -1.8295 -1.9447 -2.9226
   9  72   1    126      0      0      0  1.2067E-18  0.0000E+00
 -0.0000  0.0840  0.3233  0.4138  0.4785  0.5431  0.6013  0.6466  0.6724  0.7112
  0.7177  0.7242  0.7306  0.7371  0.7436  0.7500  0.7565  0.7630  0.7759  0.7824
  0.7888  0.8018  0.9763  1.0733  1.0992  1.4046
  0.7806  0.7578  0.5018  0.3244  0.1706 -0.0052 -0.1836 -0.3383 -0.4279 -0.2265
 -0.1011  0.0882  0.2023  0.2298  0.1727  0.0411 -0.1431 -0.3418 -0.6290 -0.6945
 -0.7469 -0.8167 -1.5492 -1.9654 -2.0588 -2.9788
  10  72   1    126      0      0      0  1.2067E-18  0.0000E+00
 -0.0000  0.0840  0.3233  0.4138  0.4785  0.5431  0.6013  0.6466  0.6724  0.7112
  0.7177  0.7242  0.7306  0.7371  0.7436  0.7500  0.7565  0.7630  0.7759  0.7824
  0.7888  0.8018  0.9763  1.0733  1.0992  1.4046
  0.7806  0.7578  0.5018  0.3244  0.1706 -0.0052 -0.1836 -0.3383 -0.4279 -0.2265
 -0.1011  0.0882  0.2023  0.2298  0.1727  0.0411 -0.1431 -0.3418 -0.6290 -0.6945
 -0.7469 -0.8167 -1.5492 -1.9654 -2.0588 -2.9788
  11  72   1    126      0      0      0  1.2067E-18  0.0000E+00
 -0.0000  0.0840  0.3233  0.4138  0.4785  0.5431  0.6013  0.6466  0.6724  0.7112
