****** Levels
   1  35   0   0   4      0      0   0.000E+00   5.000E-02
   1  36  -1   0   1      0      0   1.052E-01   2.000E-01
  F  1  7  0.  0.
   1  37   0   0   4      0      0   0.000E+00   5.000E-02
   1  38   0   0   4      0      0   0.000E+00   5.000E-02
   1  39   0   0   4      0      0   0.000E+00   5.000E-02
   1  40  -1   0   1      0      0   5.940E-02   2.000E-01
  F  1  7  0.  0.
   1  41   0   0   4      0      0   0.000E+00   5.000E-02
   1  42   0   0   4      0      0   0.000E+00   5.000E-02
   1  43  -1   0   1      0      0   3.015E-02   2.000E-01
  F  1  7  0.  0.
   1  44   0   0   4      0      0   0.000E+00   5.000E-02
   2   3   0   0   4      0      0   0.000E+00   5.000E-02
   2   4   0   0   4      0      0   0.000E+00   5.000E-02
   2   5  -1   0   1      0      0   3.640E-02   2.000E-01
  F  1  7  0.  0.
   2   6   0   0   4      0      0   0.000E+00   5.000E-02
   2   7   0   0   4      0      0   0.000E+00   5.000E-02
   2   8   0   0   4      0      0   0.000E+00   5.000E-02
   2   9   0   0   4      0      0   0.000E+00   5.000E-02
   2  10   0   0   4      0      0   0.000E+00   5.000E-02
   2  11   0   0   4      0      0   0.000E+00   5.000E-02
   2  12   0   0   4      0      0   0.000E+00   5.000E-02
   2  13  -1   0   1      0      0   1.218E-02   2.000E-01
  F  1  7  0.  0.
   2  14   0   0   4      0      0   0.000E+00   5.000E-02
   2  15   0   0   4      0      0   0.000E+00   5.000E-02
   2  16   0   0   4      0      0   0.000E+00   5.000E-02
   2  17   0   0   4      0      0   0.000E+00   5.000E-02
   2  18   0   0   4      0      0   0.000E+00   5.000E-02
   2  19  -1   0   1      0      0   2.860E-01   2.000E-01
  F  1  7  0.  0.
   2  20  -1   0   1      0      0   3.060E-03   2.000E-01
  F  1  7  0.  0.
   2  21   0   0   4      0      0   0.000E+00   5.000E-02
   2  22   0   0   4      0      0   0.000E+00   5.000E-02
   2  23   0   0   4      0      0   0.000E+00   5.000E-02
   2  24   0   0   4      0      0   0.000E+00   5.000E-02
   2  25   0   0   4      0      0   0.000E+00   5.000E-02
   2  26  -1   0   1      0      0   4.900E-01   2.000E-01
  F  1  7  0.  0.
   2  27   0   0   4      0      0   0.000E+00   5.000E-02
   2  28  -1   0   1      0      0   2.948E+00   2.000E-01
  F  1  7  0.  0.
   2  29   0   0   4      0      0   0.000E+00   5.000E-02
   2  30  -1   0   1      0      0   1.956E-03   2.000E-01
  F  1  7  0.  0.
   2  31   0   0   4      0      0   0.000E+00   5.000E-02
   2  32   0   0   4      0      0   0.000E+00   5.000E-02
   2  33   0   0   4      0      0   0.000E+00   5.000E-02
   2  34   0   0   4      0      0   0.000E+00   5.000E-02
   2  35  -1   0   1      0      0   3.083E-01   2.000E-01
  F  1  7  0.  0.
   2  36   0   0   4      0      0   0.000E+00   5.000E-02
   2  37   0   0   4      0      0   0.000E+00   5.000E-02
   2  38  -1   0   1      0      0   1.372E-01   2.000E-01
  F  1  7  0.  0.
   2  39   0   0   4      0      0   0.000E+00   5.000E-02
   2  40   0   0   4      0      0   0.000E+00   5.000E-02
   2  41  -1   0   1      0      0   8.325E-02   2.000E-01
  F  1  7  0.  0.
   2  42   0   0   4      0      0   0.000E+00   5.000E-02
   2  43   0   0   4      0      0   0.000E+00   5.000E-02
   2  44  -1   0   1      0      0   6.487E-02   2.000E-01
  F  1  7  0.  0.
   3   4   0   0   4      0      0   0.000E+00   5.000E-02
   3   5  -1   0   1      0      0   6.460E-04   7.000E-01
  F  1  7  0.  0.
   3   6   0   0   4      0      0   0.000E+00   5.000E-02
   3   7   0   0   4      0      0   0.000E+00   5.000E-02
   3   8   0   0   4      0      0   0.000E+00   5.000E-02
   3   9   0   0   4      0      0   0.000E+00   5.000E-02
   3  10   0   0   4      0      0   0.000E+00   5.000E-02
   3  11   0   0   4      0      0   0.000E+00   5.000E-02
   3  12   0   0   4      0      0   0.000E+00   5.000E-02
   3  13   0   0   4      0      0   0.000E+00   5.000E-02
   3  14   0   0   4      0      0   0.000E+00   5.000E-02
   3  15   0   0   4      0      0   0.000E+00   5.000E-02
   3  16   0   0   4      0      0   0.000E+00   5.000E-02
   3  17   0   0   4      0      0   0.000E+00   5.000E-02
   3  18   0   0   4      0      0   0.000E+00   5.000E-02
   3  19   0   0   4      0      0   0.000E+00   5.000E-02
   3  20   0   0   4      0      0   0.000E+00   5.000E-02
   3  21   0   0   4      0      0   0.000E+00   5.000E-02
   3  22   0   0   4      0      0   0.000E+00   5.000E-02
   3  23   0   0   4      0      0   0.000E+00   5.000E-02
   3  24   0   0   4      0      0   0.000E+00   5.000E-02
   3  25   0   0   4      0      0   0.000E+00   5.000E-02
   3  26  -1   0   1      0      0   1.010E-01   2.000E-01
  F  1  7  0.  0.
   3  27   0   0   4      0      0   0.000E+00   5.000E-02
   3  28  -1   0   1      0      0   1.860E-01   2.000E-01
  F  1  7  0.  0.
   3  29   0   0   4      0      0   0.000E+00   5.000E-02
   3  30  -1   0   1      0      0   3.310E+00   2.000E-01
  F  1  7  0.  0.
   3  31   0   0   4      0      0   0.000E+00   5.000E-02
   3  32   0   0   4      0      0   0.000E+00   5.000E-02
   3  33   0   0   4      0      0   0.000E+00   5.000E-02
   3  34   0   0   4      0      0   0.000E+00   5.000E-02
   3  35  -1   0   1      0      0   1.649E-01   2.000E-01
  F  1  7  0.  0.
   3  36   0   0   4      0      0   0.000E+00   5.000E-02
   3  37   0   0   4      0      0   0.000E+00   5.000E-02
   3  38  -1   0   1      0      0   5.240E-01   2.000E-01
  F  1  7  0.  0.
   3  39   0   0   4      0      0   0.000E+00   5.000E-02
   3  40   0   0   4      0      0   0.000E+00   5.000E-02
   3  41  -1   0   1      0      0   2.613E-02   2.000E-01
  F  1  7  0.  0.
   3  42   0   0   4      0      0   0.000E+00   5.000E-02
   3  43   0   0   4      0      0   0.000E+00   5.000E-02
   3  44  -1   0   1      0      0   1.303E-01   2.000E-01
  F  1  7  0.  0.
   4   5   0   0   4      0      0   0.000E+00   5.000E-02
   4   6   0   0   4      0      0   0.000E+00   5.000E-02
   4   7   0   0   4      0      0   0.000E+00   5.000E-02
   4   8   0   0   4      0      0   0.000E+00   5.000E-02
   4   9   0   0   4      0      0   0.000E+00   5.000E-02
   4  10   0   0   4      0      0   0.000E+00   5.000E-02
   4  11   0   0   4      0      0   0.000E+00   5.000E-02
   4  12   0   0   4      0      0   0.000E+00   5.000E-02
   4  13   0   0   4      0      0   0.000E+00   5.000E-02
   4  14   0   0   4      0      0   0.000E+00   5.000E-02
   4  15   0   0   4      0      0   0.000E+00   5.000E-02
   4  16   0   0   4      0      0   0.000E+00   5.000E-02
   4  17   0   0   4      0      0   0.000E+00   5.000E-02
   4  18   0   0   4      0      0   0.000E+00   5.000E-02
   4  19   0   0   4      0      0   0.000E+00   5.000E-02
   4  20   0   0   4      0      0   0.000E+00   5.000E-02
