   697       0       17       0.     0.205335488
  0.81459E+03 0.00000E+00 0.00000E+00 0.46418E+02 0.97838E+01 0.00000E+00
  0.81506E+03 0.00000E+00 0.00000E+00 0.47049E+02 0.98703E+01 0.00000E+00
  0.81552E+03 0.00000E+00 0.00000E+00 0.48470E+02 0.99605E+01 0.00000E+00
  0.81599E+03 0.00000E+00 0.00000E+00 0.48334E+02 0.10114E+02 0.00000E+00
  0.81646E+03 0.00000E+00 0.00000E+00 0.49040E+02 0.10279E+02 0.00000E+00
  0.81692E+03 0.00000E+00 0.00000E+00 0.51086E+02 0.10436E+02 0.00000E+00
  0.81739E+03 0.00000E+00 0.00000E+00 0.51508E+02 0.10643E+02 0.00000E+00
  0.81786E+03 0.00000E+00 0.00000E+00 0.53076E+02 0.10850E+02 0.00000E+00
  0.81833E+03 0.00000E+00 0.00000E+00 0.54133E+02 0.11053E+02 0.00000E+00
  0.81880E+03 0.00000E+00 0.00000E+00 0.55525E+02 0.11246E+02 0.00000E+00
  0.81926E+03 0.00000E+00 0.00000E+00 0.56516E+02 0.11429E+02 0.00000E+00
  0.81973E+03 0.00000E+00 0.00000E+00 0.57250E+02 0.11594E+02 0.00000E+00
  0.82021E+03 0.00000E+00 0.00000E+00 0.57786E+02 0.11721E+02 0.00000E+00
  0.82068E+03 0.00000E+00 0.00000E+00 0.58000E+02 0.11836E+02 0.00000E+00
  0.82115E+03 0.00000E+00 0.00000E+00 0.58462E+02 0.11920E+02 0.00000E+00
  0.82162E+03 0.00000E+00 0.00000E+00 0.58848E+02 0.11986E+02 0.00000E+00
  0.82209E+03 0.00000E+00 0.00000E+00 0.57701E+02 0.12065E+02 0.00000E+00
  0.82257E+03 0.00000E+00 0.00000E+00 0.58979E+02 0.12109E+02 0.00000E+00
  0.82304E+03 0.00000E+00 0.00000E+00 0.59301E+02 0.12169E+02 0.00000E+00
  0.82352E+03 0.00000E+00 0.00000E+00 0.59004E+02 0.12242E+02 0.00000E+00
  0.82399E+03 0.00000E+00 0.00000E+00 0.58988E+02 0.12324E+02 0.00000E+00
  0.82447E+03 0.00000E+00 0.00000E+00 0.59631E+02 0.12408E+02 0.00000E+00
  0.82494E+03 0.00000E+00 0.00000E+00 0.60641E+02 0.12509E+02 0.00000E+00
  0.82542E+03 0.00000E+00 0.00000E+00 0.61208E+02 0.12632E+02 0.00000E+00
  0.82590E+03 0.00000E+00 0.00000E+00 0.61226E+02 0.12779E+02 0.00000E+00
  0.82637E+03 0.00000E+00 0.00000E+00 0.62645E+02 0.12925E+02 0.00000E+00
  0.82685E+03 0.00000E+00 0.00000E+00 0.63584E+02 0.13082E+02 0.00000E+00
  0.82733E+03 0.00000E+00 0.00000E+00 0.64250E+02 0.13262E+02 0.00000E+00
  0.82781E+03 0.00000E+00 0.00000E+00 0.64927E+02 0.13448E+02 0.00000E+00
  0.82829E+03 0.00000E+00 0.00000E+00 0.65997E+02 0.13642E+02 0.00000E+00
  0.82877E+03 0.00000E+00 0.00000E+00 0.67447E+02 0.13838E+02 0.00000E+00
  0.82925E+03 0.00000E+00 0.00000E+00 0.68740E+02 0.14053E+02 0.00000E+00
  0.82973E+03 0.00000E+00 0.00000E+00 0.69095E+02 0.14283E+02 0.00000E+00
  0.83022E+03 0.00000E+00 0.00000E+00 0.71240E+02 0.14485E+02 0.00000E+00
  0.83070E+03 0.00000E+00 0.00000E+00 0.71856E+02 0.14709E+02 0.00000E+00
  0.83118E+03 0.00000E+00 0.00000E+00 0.73063E+02 0.14908E+02 0.00000E+00
  0.83167E+03 0.00000E+00 0.00000E+00 0.73751E+02 0.15095E+02 0.00000E+00
  0.83215E+03 0.00000E+00 0.00000E+00 0.74666E+02 0.15275E+02 0.00000E+00
  0.83263E+03 0.00000E+00 0.00000E+00 0.75376E+02 0.15446E+02 0.00000E+00
  0.83312E+03 0.00000E+00 0.00000E+00 0.76318E+02 0.15583E+02 0.00000E+00
  0.83361E+03 0.00000E+00 0.00000E+00 0.76923E+02 0.15723E+02 0.00000E+00
  0.83409E+03 0.00000E+00 0.00000E+00 0.76637E+02 0.15860E+02 0.00000E+00
  0.83458E+03 0.00000E+00 0.00000E+00 0.77584E+02 0.15976E+02 0.00000E+00
  0.83507E+03 0.00000E+00 0.00000E+00 0.77714E+02 0.16113E+02 0.00000E+00
  0.83556E+03 0.00000E+00 0.00000E+00 0.78260E+02 0.16254E+02 0.00000E+00
  0.83605E+03 0.00000E+00 0.00000E+00 0.79622E+02 0.16409E+02 0.00000E+00
  0.83654E+03 0.00000E+00 0.00000E+00 0.80211E+02 0.16595E+02 0.00000E+00
  0.83703E+03 0.00000E+00 0.00000E+00 0.80504E+02 0.16808E+02 0.00000E+00
  0.83752E+03 0.00000E+00 0.00000E+00 0.82793E+02 0.17008E+02 0.00000E+00
  0.83801E+03 0.00000E+00 0.00000E+00 0.83884E+02 0.17241E+02 0.00000E+00
  0.83850E+03 0.00000E+00 0.00000E+00 0.84498E+02 0.17512E+02 0.00000E+00
  0.83899E+03 0.00000E+00 0.00000E+00 0.86140E+02 0.17767E+02 0.00000E+00
  0.83949E+03 0.00000E+00 0.00000E+00 0.88355E+02 0.18016E+02 0.00000E+00
  0.83998E+03 0.00000E+00 0.00000E+00 0.89296E+02 0.18288E+02 0.00000E+00
  0.84047E+03 0.00000E+00 0.00000E+00 0.90603E+02 0.18548E+02 0.00000E+00
  0.84097E+03 0.00000E+00 0.00000E+00 0.91320E+02 0.18795E+02 0.00000E+00
  0.84146E+03 0.00000E+00 0.00000E+00 0.93020E+02 0.19022E+02 0.00000E+00
  0.84196E+03 0.00000E+00 0.00000E+00 0.93830E+02 0.19254E+02 0.00000E+00
  0.84246E+03 0.00000E+00 0.00000E+00 0.94536E+02 0.19482E+02 0.00000E+00
  0.84295E+03 0.00000E+00 0.00000E+00 0.95813E+02 0.19707E+02 0.00000E+00
  0.84345E+03 0.00000E+00 0.00000E+00 0.95968E+02 0.19950E+02 0.00000E+00
  0.84395E+03 0.00000E+00 0.00000E+00 0.98325E+02 0.20188E+02 0.00000E+00
  0.84445E+03 0.00000E+00 0.00000E+00 0.98614E+02 0.20472E+02 0.00000E+00
  0.84495E+03 0.00000E+00 0.00000E+00 0.10124E+03 0.20754E+02 0.00000E+00
  0.84545E+03 0.00000E+00 0.00000E+00 0.10179E+03 0.21066E+02 0.00000E+00
  0.84595E+03 0.00000E+00 0.00000E+00 0.10411E+03 0.21375E+02 0.00000E+00
  0.84645E+03 0.00000E+00 0.00000E+00 0.10595E+03 0.21692E+02 0.00000E+00
  0.84695E+03 0.00000E+00 0.00000E+00 0.10672E+03 0.22038E+02 0.00000E+00
  0.84745E+03 0.00000E+00 0.00000E+00 0.10865E+03 0.22370E+02 0.00000E+00
  0.84796E+03 0.00000E+00 0.00000E+00 0.11100E+03 0.22705E+02 0.00000E+00
  0.84846E+03 0.00000E+00 0.00000E+00 0.11263E+03 0.23047E+02 0.00000E+00
  0.84896E+03 0.00000E+00 0.00000E+00 0.11432E+03 0.23383E+02 0.00000E+00
  0.84947E+03 0.00000E+00 0.00000E+00 0.11518E+03 0.23723E+02 0.00000E+00
  0.84997E+03 0.00000E+00 0.00000E+00 0.11711E+03 0.24036E+02 0.00000E+00
  0.85048E+03 0.00000E+00 0.00000E+00 0.11862E+03 0.24358E+02 0.00000E+00
  0.85099E+03 0.00000E+00 0.00000E+00 0.11971E+03 0.24698E+02 0.00000E+00
  0.85149E+03 0.00000E+00 0.00000E+00 0.12166E+03 0.25039E+02 0.00000E+00
  0.85200E+03 0.00000E+00 0.00000E+00 0.12347E+03 0.25397E+02 0.00000E+00
  0.85251E+03 0.00000E+00 0.00000E+00 0.12581E+03 0.25755E+02 0.00000E+00
  0.85302E+03 0.00000E+00 0.00000E+00 0.12719E+03 0.26127E+02 0.00000E+00
  0.85353E+03 0.00000E+00 0.00000E+00 0.12957E+03 0.26476E+02 0.00000E+00
  0.85404E+03 0.00000E+00 0.00000E+00 0.13064E+03 0.26827E+02 0.00000E+00
  0.85455E+03 0.00000E+00 0.00000E+00 0.13135E+03 0.27188E+02 0.00000E+00
  0.85506E+03 0.00000E+00 0.00000E+00 0.13360E+03 0.27534E+02 0.00000E+00
  0.85557E+03 0.00000E+00 0.00000E+00 0.13468E+03 0.27931E+02 0.00000E+00
  0.85609E+03 0.00000E+00 0.00000E+00 0.13784E+03 0.28336E+02 0.00000E+00
  0.85660E+03 0.00000E+00 0.00000E+00 0.13925E+03 0.28800E+02 0.00000E+00
  0.85711E+03 0.00000E+00 0.00000E+00 0.14177E+03 0.29302E+02 0.00000E+00
  0.85763E+03 0.00000E+00 0.00000E+00 0.14505E+03 0.29820E+02 0.00000E+00
  0.85814E+03 0.00000E+00 0.00000E+00 0.14749E+03 0.30388E+02 0.00000E+00
  0.85866E+03 0.00000E+00 0.00000E+00 0.15153E+03 0.30965E+02 0.00000E+00
  0.85918E+03 0.00000E+00 0.00000E+00 0.15441E+03 0.31567E+02 0.00000E+00
  0.85969E+03 0.00000E+00 0.00000E+00 0.15786E+03 0.32151E+02 0.00000E+00
  0.86021E+03 0.00000E+00 0.00000E+00 0.16116E+03 0.32703E+02 0.00000E+00
  0.86073E+03 0.00000E+00 0.00000E+00 0.16320E+03 0.33238E+02 0.00000E+00
  0.86125E+03 0.00000E+00 0.00000E+00 0.16537E+03 0.33724E+02 0.00000E+00
  0.86177E+03 0.00000E+00 0.00000E+00 0.16665E+03 0.34185E+02 0.00000E+00
  0.86229E+03 0.00000E+00 0.00000E+00 0.16846E+03 0.34635E+02 0.00000E+00
  0.86281E+03 0.00000E+00 0.00000E+00 0.17068E+03 0.35077E+02 0.00000E+00
  0.86333E+03 0.00000E+00 0.00000E+00 0.17263E+03 0.35548E+02 0.00000E+00
  0.86385E+03 0.00000E+00 0.00000E+00 0.17509E+03 0.36048E+02 0.00000E+00
  0.86437E+03 0.00000E+00 0.00000E+00 0.17678E+03 0.36599E+02 0.00000E+00
  0.86490E+03 0.00000E+00 0.00000E+00 0.18115E+03 0.37155E+02 0.00000E+00
  0.86542E+03 0.00000E+00 0.00000E+00 0.18434E+03 0.37757E+02 0.00000E+00
  0.86595E+03 0.00000E+00 0.00000E+00 0.18717E+03 0.38386E+02 0.00000E+00
  0.86647E+03 0.00000E+00 0.00000E+00 0.19121E+03 0.38991E+02 0.00000E+00
  0.86700E+03 0.00000E+00 0.00000E+00 0.19248E+03 0.39635E+02 0.00000E+00
