****** Levels
 1.14731729E+16      2.    2  'N +2 2Po 1'  0   0.   0  
  0.8292  1.0148  1.1070  1.1087  1.0575  1.0153  1.0250  1.0610  1.0808  1.0730
  1.0454  0.9634  0.9171  0.5856  0.1189 -0.3155 -0.7833 -1.3262 -1.7044 -1.9245
   8  33   1    151      0      0      0   1.965E-21   0.000E+00
 -0.0248 -0.0184 -0.0119 -0.0054  0.0010  0.0140  0.0204  0.0269  0.0398  0.0463
  0.0528  0.0592  0.0657  0.0722  0.0786  0.0916  0.0980  0.1045  0.1109  0.1174
  0.1239  0.1303  0.1368  0.1433  0.1497  0.1562  0.1627  0.1691  0.1756  0.1821
  0.1885  0.1950  0.2015  0.2079  0.2144  0.2209  0.2273  0.2338  0.2403  0.2467
  0.2532  0.2597  0.2791  0.3179  0.4343  0.5959  0.7382  0.8804  1.0291  1.1649
  1.2395
 -0.3128 -0.4024 -0.5233 -0.6722 -0.8418 -1.1910 -1.2645 -1.0544 -0.5278 -0.3248
 -0.2352 -0.2362 -0.2811 -0.2968 -0.2949 -0.2601 -0.1532  0.1083  0.4247  0.7147
  0.9621  1.1684  1.3301  1.4365  1.4754  1.4375  1.3177  1.1149  0.8427  0.5471
  0.3854  0.4614  0.6348  0.7872  0.8951  0.9630  0.9944  0.9892  0.9527  0.9034
  0.8659  0.8512  0.8337  0.7560  0.4876  0.0828 -0.3076 -0.7317 -1.2097 -1.6768
 -1.9481
   9  33   1    128      0      0      0   1.483E-19   0.000E+00
 -0.0275  0.0242  0.0371  0.0436  0.0501  0.0565  0.0695  0.0824  0.0889  0.0953
  0.1147  0.1341  0.1471  0.1535  0.1665  0.1794  0.1923  0.2053  0.2247  0.2958
  0.3669  0.4639  0.6643  0.8519  1.0264  1.2010  1.2851  1.4109
 -0.3487 -0.2566 -0.2254 -0.1923 -0.1448 -0.1157 -0.1145 -0.1536 -0.1661 -0.1654
 -0.1173 -0.1300 -0.1146 -0.1171 -0.1680 -0.2262 -0.2612 -0.2670 -0.2758 -0.3799
 -0.4764 -0.6144 -0.9547 -1.3055 -1.6635 -2.0528 -2.2573 -2.6351
  10  33   1    161      0      0      0   7.380E-21   0.000E+00
 -0.0298 -0.0233 -0.0168 -0.0104 -0.0039  0.0090  0.0220  0.0284  0.0349  0.0478
  0.0543  0.0608  0.0672  0.0737  0.0802  0.0866  0.0931  0.0996  0.1060  0.1125
  0.1190  0.1254  0.1319  0.1384  0.1448  0.1513  0.1578  0.1642  0.1707  0.1772
  0.1836  0.1901  0.1965  0.2095  0.2159  0.2224  0.2353  0.2418  0.2483  0.2547
  0.2612  0.2677  0.2741  0.2871  0.2935  0.3000  0.3065  0.3129  0.3194  0.3259
  0.3323  0.3388  0.3582  0.4035  0.6039  0.7397  0.8755  1.0113  1.1600  1.2570
  1.3111
 -0.2459 -0.2032 -0.1999 -0.2465 -0.3452 -0.6152 -0.8667 -1.0138 -1.0319 -0.7824
 -0.6394 -0.5203 -0.4902 -0.5139 -0.5147 -0.4284 -0.3302 -0.2670 -0.2516 -0.1921
 -0.0114  0.3143  0.6161  0.8415  0.9943  1.0948  1.1699  1.2302  1.2705  1.2744
  1.2231  1.1044  0.9179  0.4450  0.3374  0.4224  0.8081  0.9738  1.0972  1.1739
  1.1992  1.1783  1.1149  0.9381  0.8704  0.8311  0.8138  0.8149  0.8352  0.8656
  0.8867  0.8848  0.8096  0.7178  0.2506 -0.0990 -0.4814 -0.8958 -1.3861 -1.7289
 -1.9270
  11  33   1    129      0      0      0   9.589E-19   0.000E+00
 -0.0326 -0.0261 -0.0197 -0.0132 -0.0003  0.0191  0.0256  0.0644  0.0838  0.1032
  0.1355  0.1549  0.1808  0.2002  0.2325  0.2454  0.2713  0.2842  0.3101  0.3424
  0.3683  0.4071  0.4394  0.6787  0.8403  0.9890  1.1248  1.2542  1.3481
