****** Levels
 1.1418197E+16       2.    3  'S IV 2Po 1'  0   0.  0
 -0.0668 -0.0581 -0.1355 -0.1703 -0.2763 -2.1397
   7  39   1    132      0      0      0   4.489E-19   0.000E+00
 -0.0338 -0.0209 -0.0144 -0.0080  0.0050  0.0114  0.0179  0.0244  0.0502  0.0696
  0.0890  0.0955  0.1019  0.1149  0.1213  0.1278  0.1472  0.1537  0.1795  0.1860
  0.1925  0.1989  0.2054  0.2119  0.2248  0.2313  0.2442  0.2507  0.2701  0.4640
  0.4899  1.1352
  0.6248  0.6197  0.6075  0.5773  0.4643  0.4153  0.3954  0.3847  0.3655  0.3306
  0.2616  0.2492  0.2551  0.2918  0.2939  0.2731  0.1399  0.1090  0.0214  0.0168
  0.0323  0.0588  0.0758  0.0682  0.0003 -0.0185 -0.0062 -0.0084 -0.0515 -0.2953
 -0.3612 -2.2992
   8  39   1    120      0      0      0   4.693E-20   0.000E+00
 -0.0391  0.0126  0.0191  0.0256  0.0320  0.0450  0.0579  0.0708  0.0838  0.0902
  0.0967  0.1161  0.1355  0.1613  0.1937  0.2389  0.3424  0.5040  0.5234  1.1584
 -0.9262 -0.7751 -0.7614 -0.7592 -0.7671 -0.8014 -0.7977 -0.7449 -0.6823 -0.6593
 -0.6577 -0.7118 -0.7210 -0.7833 -0.7865 -0.8472 -1.0054 -1.1570 -1.1992 -3.1046
   9  39   1    146      0      0      0   3.158E-21   0.000E+00
 -0.0389 -0.0325 -0.0260 -0.0195 -0.0131 -0.0066 -0.0001  0.0063  0.0128  0.0193
  0.0257  0.0322  0.0387  0.0451  0.0516  0.0581  0.0645  0.0710  0.0775  0.0839
  0.0904  0.0969  0.1033  0.1098  0.1163  0.1227  0.1292  0.1357  0.1421  0.1486
  0.1551  0.1615  0.1680  0.1809  0.1874  0.1939  0.2068  0.2133  0.2197  0.2391
  0.2650  0.3038  0.3620  0.5042  0.5301  1.1397
 -0.1558 -0.1243 -0.1442 -0.2260 -0.3682 -0.5402 -0.6548 -0.6269 -0.5233 -0.4477
 -0.4425 -0.5138 -0.6547 -0.8527 -1.0822 -1.2694 -1.2820 -1.1231 -0.9319 -0.7893
 -0.7191 -0.7169 -0.7362 -0.6818 -0.5140 -0.3088 -0.1269  0.0202  0.1316  0.2044
  0.2333  0.2155  0.1547 -0.0293 -0.0892 -0.0838 -0.0013  0.0234  0.0248  0.0007
 -0.0127  0.0060 -0.0113 -0.1321 -0.1958 -2.0265
  10  39   1    130      0      0      0   4.735E-21   0.000E+00
  0.1324  0.1389  0.1454  0.1518  0.1583  0.1648  0.1712  0.1777  0.1842  0.1906
  0.1971  0.2036  0.2100  0.2165  0.2230  0.2294  0.2359  0.2424  0.2488  0.2553
  0.2618  0.2682  0.2747  0.2812  0.2941  0.3006  0.3329  0.3588  0.3782  1.0271
 -1.6257 -1.1534 -0.6914 -0.3029  0.0085  0.2122  0.3087  0.2992  0.1875 -0.0205
 -0.2998 -0.5522 -0.5539 -0.3649 -0.1975 -0.1123 -0.1018 -0.1257 -0.1251 -0.0738
 -0.0030  0.0470  0.0600  0.0407 -0.0167 -0.0191  0.0184  0.0137 -0.0272 -1.9747
  11  39   1    117      0      0      0   1.710E-18   0.000E+00
  0.1365  0.1623  0.1947  0.2011  0.2076  0.2205  0.2270  0.2335  0.2593  0.2787
  0.2917  0.3111  0.3628  0.4727  0.5374  0.6020  1.1359
  0.4482  0.4008  0.3287  0.3201  0.3249  0.3637  0.3701  0.3465  0.1721  0.1746
  0.1422  0.0932 -0.0154 -0.2129 -0.3196 -0.5063 -2.1105
  12  39   1    155      0      0      0   5.158E-19   0.000E+00
 -0.0460 -0.0395 -0.0331 -0.0266 -0.0201 -0.0137 -0.0072 -0.0008  0.0057  0.0122
  0.0186  0.0251  0.0316  0.0380  0.0510  0.0574  0.0639  0.0704  0.0768  0.0833
  0.0898  0.0962  0.1027  0.1092  0.1156  0.1221  0.1286  0.1350  0.1415  0.1480
  0.1544  0.1609  0.1674  0.1738  0.1803  0.1868  0.1932  0.2062  0.2126  0.2191
  0.2320  0.2385  0.2450  0.2514  0.2579  0.2644  0.2708  0.2838  0.2902  0.3161
  0.3743  0.4001  0.4195  0.4454  1.0827
 -0.8469 -0.8087 -0.6131 -0.2112  0.2399  0.6215  0.9004  1.0686  1.1270  1.0810
  0.9391  0.7275  0.5064  0.3684  0.2547  0.1582  0.0510  0.0066  0.0707  0.1916
  0.2951  0.3389  0.3063  0.1941  0.0084 -0.2261 -0.4368 -0.4946 -0.3736 -0.1831
 -0.0025  0.1378  0.2196  0.2442  0.2151  0.1456  0.0483 -0.1721 -0.2371 -0.2247
 -0.0772 -0.0280 -0.0217 -0.0498 -0.0880 -0.1107 -0.1079 -0.0747 -0.0677 -0.0831
 -0.0548 -0.0558 -0.0748 -0.1416 -2.0557
  13  39   1    150      0      0      0   5.729E-20   0.000E+00
 -0.0469 -0.0405 -0.0340 -0.0275 -0.0211 -0.0146 -0.0081 -0.0017  0.0048  0.0113
  0.0177  0.0242  0.0307  0.0371  0.0436  0.0501  0.0565  0.0695  0.0759  0.0824
  0.0889  0.0953  0.1018  0.1147  0.1212  0.1277  0.1341  0.1406  0.1471  0.1600
  0.1665  0.1729  0.1794  0.1859  0.1923  0.2053  0.2117  0.2182  0.2247  0.2376
  0.2441  0.2505  0.2635  0.2699  0.2958  0.3410  0.5156  0.5609  0.5932  1.2029
 -0.2335 -0.1814 -0.1411 -0.1110 -0.0664  0.0309  0.1673  0.2853  0.3381  0.3034
  0.1831  0.0179 -0.1324 -0.1794 -0.2113 -0.2274 -0.2833 -0.4504 -0.4974 -0.4955
 -0.4698 -0.4539 -0.4724 -0.5710 -0.6075 -0.6284 -0.6345 -0.6269 -0.5900 -0.4641
 -0.4120 -0.3858 -0.3859 -0.4080 -0.4438 -0.5342 -0.5712 -0.5901 -0.5868 -0.5456
 -0.5339 -0.5398 -0.5757 -0.5852 -0.5828 -0.6073 -0.6839 -0.7273 -0.8125 -2.6438
  14  39   1    116      0      0      0   7.637E-18   0.000E+00
  0.1507  0.1636  0.1830  0.1959  0.2153  0.2218  0.2347  0.2412  0.2477  0.2541
  0.2800  0.2865  0.3059  0.3382  0.4028  1.0658
